%mor:	pro:sub|vous v:mdl|aller&PRES&2p v|jouer-INF det:art|un&m&sg
%mor:	prep|avec pro:rel|qui part|taire-PP&m v:aux|avoir&PRES&2s
	part|jouer-PP&m n|hier&m ?
%mor:	pro:int|qui v:int|est–ce pro:int|qui v:aux|être&PRES&3s
	part|venir-PP&m prep|à det:art|la&f&sg n|maison&f n|hier&m ?
%mor:	adv|comment pro:sub|il pro:refl|se$v|appeler-IMPF&3s
	det:art|le&m&sg n|garçon&m ?
%mor:	?|raphaël
%mor:	?|raphaël
%mor:	pro:sub|il v:aux|être&IMPF&3s adj|gentil&m ?
%mor:	pro:obj|vous v:aux|avoir&PRES&2p part|jouer-PP&m prep|à
	pro:rel|quoi ?
%mor:	co|hum co|hum pro:rel|que$v:int|est–ce adv|que pro:obj|vous
	v:aux|avoir&PRES&2p part|manger-PP&m ?
%mor:	co|non=no
%mor:	prep|de&les n|gâteau&m-PL n|comment&m ?
%mor:	prep|de&les n|gâteau&m-PL ?
%mor:	prep|à&les n|fruit&m-PL ?
%mor:	prep|à det:gen|quel&m&sg n|fruit&m ?
%mor:	prep|de&le n|sel&m ?
%mor:	pro:int|que$v:int|est–ce pro:rel|que$pro:sub|on v|mettre-PRES&3s
	prep|pour v:mdl|faire-INF det:art|les&pl n|crêpe-PL ?
%mor:	co|ouais=yes
%mor:	conj|et adv|puis ?
%mor:	co|ah
%mor:	part|taire-PP&m v:mdl|faire-PRES&12s det:art|une&f&sg n|salade&f
	prep|de n|tomate&f-PL
%mor:	pro:int|que$v:int|est–ce adv|que part|taire-PP&m n|mets&m prep|dans
	det:poss|ta&f&sg n|salade&f prep|de n|tomate&f-PL ?
%mor:	pro:dem|ce$v:aux|être&PRES&3s adj|original&m&sg n|tout&m pro:dem|ça
%mor:	co|merci
%mor:	conj|et pro:int|où v:int|est–ce pro:rel|que$pro:sub|on
	v:aux|être&PRES&3s part|aller&PP&m&sg prep|pour
	det:art|le$n|anniversaire&m prep|de ?|cécile ?
%mor:	n|comment&m pro:dem|ça pro:refl|se$v|appeler-IMPF&3s ?
%mor:	pro:sub|on v:aux|être&PRES&3s part|aller&PP&m&sg prep|à
%mor:	?|montpellier
%mor:	pro:dem|ce$v:aux|être&IMPF&3s adv|bien ?
%mor:	co|ouais=yes
%mor:	pro:int|que$v:int|est–ce pro:int|qui v:aux|avoir&IMPF&3s prep|à
	?|montpellier ?
%mor:	pro:y|y v:aux|avoir&IMPF&3s det:art|une&f&sg n|piscine&f
%mor:	conj|et pro:rel|que$v:int|est–ce adv|que part|taire-PP&m
	v:aux|avoir&PRES&2s part|manger-PP&m ?
%mor:	co|hum co|hum
%mor:	adv:place|voilà
%mor:	adv|comment pro:sub|il pro:refl|se$v|appeler-PRES&SUB&13s ?
%mor:	adj|joli&m
%mor:	co|oh co|bah pro:sub|il v:aux|avoir&PRES&3s num|deux n|tétine&f-PL
%mor:	pro:int|que$v:int|est–ce pro:rel|que$pro:sub|il v|manger-IMP&2s
	pro:dem|ce n|bébé&m ?
%mor:	co|ah co|bon
%mor:	pro:sub|il v|téter-IMP&2s neg|pas det:poss|sa&f&sg n|maman&f ?
%mor:	co|non=no ?
%mor:	adv:int|pourquoi ?
%mor:	pro|toi&sg adv|quand part|taire-PP&m n|étai&m-PL det:art|un&m&sg
	n|bébé&m part|taire-PP&m v|téter-IMPF&12s neg|pas det:poss|ta&f&sg
	n|maman&f ?
%mor:	co|ben adv|alors
%mor:	adv:int|pourquoi part|luire&PP&m pro:sub|il v|téter-COND&3s neg|pas
	det:poss|sa&f&sg n|maman&f ?
%mor:	co|non=no ?
%mor:	adv|comment pro:sub|on part|faire-PP&m ?
%mor:	adv|comment pro:sub|il part|faire-PP&m prep|pour v|téter-INF
	det:poss|sa&f&sg n|maman&f ?
%mor:	v|tenir-IMP&2s v|regarder-IMP&2s pro:sub|il pro:y|y
	v:aux|avoir&PRES&3s ?|anouk pro:int|qui n|joue&f prep|à&les
	n|lego&m=toy
%mor:	part|taire-PP&m v:mdl|vouloir&PRES&12s v|jouer-INF prep|avec
	pro:sub|elle ?
%mor:	pro:dem|ce$v:aux|être&PRES&3s det:art|un&m&sg n|bébé&m n|lion&m
%mor:	det:art|un&m&sg n|lionceau&m
%mor:	adv|ben pro:sub|je v:mdl|savoir&PRES&12s neg|pas pro:int|où
	pro:sub|il v:aux|être&PRES&3s det:poss|ton&m&sg n|bébé&m pro:int|qui
	part|faire-PP&m n|pipi&m=peepee pro|moi&sg
%mor:	co|oui=yes adv|mais pro:dem|ce$v:exist|être&PRES&3s adv|parce
	adv|que det:art|le&m&sg n|bébé&m pro:int|qui part|faire-PP&m
	n|pipi&m=peepee pro:dem|ce$v:exist|être&PRES&3s pro:dem|celui&m&sg
	pro:int|qui v:aux|avoir&PRES&3s det:art|un&m&sg n|zizi&m=penis
	adv|mais pro:sub|je v:mdl|savoir&PRES&12s neg|pas pro:int|où
	pro:sub|il v:aux|être&PRES&3s
%mor:	adv|ben pro:sub|il v:mdl|devoir&PRES&3s v:aux|être&INF prep|dans
	co|ta n|chambre&f v:mdl|aller&PRES&3s v|voir&INF adv|vite
	part|faire-PP&m adv|si part|taire-PP&m det:art|le&m&sg
	v|trouver-PRES&SUB&2s prep|dans co|ta n|chambre&f
%mor:	?|anaé n|reste&m adv:place|là
%mor:	adv|mais v|attendre-IMP&2s
%mor:	adv|mais v|attendre-IMP&2p det:art|les&pl n|fille&f-PL pro:sub|je
	v:mdl|aller&PRES&1s pro:y|y v:mdl|aller&INF pro|moi&sg
%mor:	v|venir-IMP&2p adv:place|là v|venir-PRES&2s prep|en adj|bas&m
%mor:	pro:sub|je$v:aux|avoir&PRES&1s part|trouver-PP&m pro:dem|celui&m&sg
	pro:int|qui v:aux|avoir&PRES&3s prep|de&les n|dent&f-PL
%mor:	pro:sub|je v:mdl|aller&PRES&1s v:mdl|aller&INF v|voir&INF
	adv:place|là–haut
%mor:	v:mdl|aller&PRES&2p v|descendre-PRES&2p pro:sub|je
	v:mdl|aller&PRES&1s pro:obj|le v|chercher-INF
%mor:	pro:sub|je v:mdl|aller&PRES&1s v|voir&INF adv|si pro:sub|je
	pro:obj|le v|trouver-PRES&SUB&13s
%mor:	v|regarder-IMP&2s ?|anaé
%mor:	part|taire-PP&m v:mdl|vouloir&PRES&12s part|taire-PP&m
	v:mdl|vouloir&PRES&12s pro:obj|le v:mdllex|faire-INF n|boire&m
	adv:place|dehors ?
%mor:	pro:sub|il v:aux|être&PRES&3s pro:int|où det:art|le&m&sg
	n|biberon&m ?
%mor:	pro:sub|je v:mdl|aller&PRES&1s pro:obj|te v|mettre-INF prep|de
	det:art|le$n|eau&f adv:place|dedans
%mor:	v|tenir-IMP&2s v|emmener-IMP&2s det:art|le&m&sg adv:place|dehors
	det:art|le&m&sg n|biberon&m pro:sub|je pro:obj|te pro:sub|je
	pro:obj|te$v|amener-IMP&2s det:art|le&m&sg n|biberon&m prep|avec
	prep|de det:art|le$n|eau&f
%mor:	v|tenir-IMP&2s n|merci
%mor:	co|attention adv|que pro:dem|ça pro:obj|te v|couler-PRES&SUB&13s
	neg|pas prep|dessus ?|anaé v:mdllex|faire-IMP&2s n|attention&f
%mor:	v|pencher-PRES&SUB&13s det:art|le&m&sg adv|quand part|taire-PP&m
	pro:ind|lui v|donner-PRES&SUB&2s prep|à v|boire&INF prep|pour
	det:art|le$n|instant&m
%mor:	co|non=no
%mor:	v|allonger-IMP&2s det:art|le&m&sg
%mor:	v|allonger-IMP&2s det:art|le&m&sg
%mor:	v|tenir-IMP&2s v|regarder-IMP&2s v|asseoir&PRES&12s det:art|le&m&sg
	prep|sur det:art|les&pl n|marche&f-PL det:art|le&m&sg n|bébé&m
%mor:	v|tenir-IMP&2s v|venir-IMP&2s v|voir&INF
%mor:	v|venir-IMP&2s
%mor:	v|donner-IMP&2s
%mor:	co|allez n|bébé&m
%mor:	v|tenir-IMP&2s
%mor:	part|taire-PP&m det:art|le&m&sg v|donner-PRES&SUB&2s ?
%mor:	v|venir-IMP&2s pro:sub|on v:mdl|aller&PRES&3s pro:obj|le
	v|poser-INF adv:place|là v|regarder-PRES&SUB&13s prep|pour
	det:art|le$n|instant&m
%mor:	co|hop
%mor:	prep|à det:art|le$n|écurie&f det:art|le&m&sg n|cheval&m&sg
%mor:	v:mdl|faire-PRES&12s co|attention pro:sub|il v:mdl|aller&PRES&3s
	pro:obj|me v:mdllex|faire-INF n|pipi&m=peepee adv:place|dessus
%mor:	co|oh det:art|le&m&sg n|gros&m n|pipi&m=peepee
%mor:	co|ah
%mor:	co|hum
%mor:	co|ah co|la co|la co|la co|la
%mor:	co|merci
%mor:	pro:int|que$v:int|est–ce adv|que pro:sub|je v:mdl|faire-PRES&12s ?
%mor:	co|oh co|non=no
%mor:	pro|toi&sg part|taire-PP&m n|bois&m
%mor:	v|attendre-IMP&2s
%mor:	co|oh
%mor:	co|non=no
%mor:	pro:dem|ce$v:aux|être&PRES&3s det:art|une&f&sg adj|grand&f
	n|fille&f
%mor:	co|non=no
%mor:	co|oui=yes part|taire-PP&m v:aux|avoir&PRES&2s part|faire-PP&m
	part|taire-PP&m v:aux|avoir&PRES&2s adj|voulu&m v:mdl|faire-INF
	prep|comme ?|timothée
%mor:	co|hum co|attention v|arrêter-IMP&2s
%mor:	co|oui=yes pro:obj|le$v|abîmer-IMP&2s=deteriorate neg|pas
	det:art|le&m&sg n|biberon&m prep|après pro:sub|il
	v:mdl|pouvoir&FUT&3s adv|plus conj|si$pro:y|en v|servir-INF
	det:art|le&m&sg n|bébé&m
%mor:	co|ah co|bon
%mor:	pro:obj|vous v:mdl|vouloir&PRES&2p v|goûter-INF pro:obj|vous
	det:art|les&pl n|fille&f-PL ?
%mor:	pro:obj|vous v:mdl|vouloir&PRES&2p det:art|une&f&sg adj|petit&f
	n|compote&f conj|et det:art|un&m&sg adj|petit&m n|gâteau&m ?
%mor:	part|taire-PP&m v:mdl|vouloir&PRES&12s det:art|un&m&sg n|goûter&m
	pro|toi&sg ?|anaé ?
%mor:	part|taire-PP&m pro:obj|te$pro:y|en n|mets&m adv|partout
	adv:place|là v|regarder-IMP&2s part|taire-PP&m v:mdl|aller&PRES&2s
	v:aux|être&INF adv|toute part|mouiller-PP&f
%mor:	part|taire-PP&m v:mdl|aller&PRES&2s v:aux|être&INF adv|toute
	part|mouiller-PP&f v|regarder-PRES&SUB&13s det:poss|ta&f&sg n|jupe&f
%mor:	v|regarder-IMP&2s det:poss|ta&f&sg n|jupe&f
%mor:	co|ouais=yes co|ben n|mets&m det:art|le&m&sg prep|à v|sécher-INF
	adv:place|dehors
%mor:	v|venir-IMP&2p adv:place|là v|venir-IMP&2p adv:place|là
%mor:	co|non=no
%mor:	v|mettre-IMP&2s det:art|le&m&sg n|mets&m det:art|le&m&sg prep|sur
	det:art|le&m&sg n|banc&m conj|ou prep|sur det:art|une&f&sg
	n|chaise&f
%mor:	co|allez pro:y|y v:aux|avoir&PRES&3s prep|de&les n|compote&f-PL
%mor:	prep|de&les n|ourson&m-PL
%mor:	pro:sub|je pro:obj|vous v|amener-PRES&SUB&13s prep|à v|boire&INF
%mor:	v:mdl|aller&PRES&3s pro:obj|te$v|asseoir&INF adv:place|à–côté=aside
	adv|de ?|anouk ?|anaé
%mor:	pro:sub|je pro:obj|vous v|amener-PRES&SUB&13s prep|à v|boire&INF
%mor:	n|sirop&m prep|de n|fraise&f-PL
%mor:	v|manger-IMP&2s
%mor:	n|pose&f det:art|le&m&sg prep|sur det:art|la&f&sg n|table&f ?|anaé
%mor:	co|oui=yes n|mai&m-PL v|attendre-IMP&2s v:mdl|falloir&PRES&3s
	v|mettre-INF prep|de det:art|le$n|eau&f adv:place|dedans
%mor:	v:mdl|aller&PRES&2s pro:y|y
%mor:	co|attention co|hein
%mor:	prep|pour ?|arthur det:art|le&m&sg n|verre&m ?
%mor:	adv|d'accord
%mor:	v|attendre-IMP&2s
%mor:	co|ouais=yes
%mor:	co|non=no ?|anaé v|regarder-PRES&SUB&13s pro:sub|tu
	pro:sub|il$v:aux|avoir&PRES&2s part|mettre-PP&m prep|dans
	det:art|le&m&sg n|trou&m det:art|la&f&sg n|fleur&f pro:sub|elle
	v:aux|être&PRES&3s part|tomber-PP&f n|parterre&m=flowerbed
%mor:	pro:int|que$v:int|est–ce adv|que pro:dem|ce$v:aux|être&PRES&3s
	pro:dem|ça ?
%mor:	co|non=no pro:sub|je pro:obj|le$v:poss|avoir&PRES&1s
	part|laver-PP&m
%mor:	pro:int|que$v:int|est–ce adv|que pro:dem|ce$v:aux|être&PRES&3s ?
%mor:	co|ha co|ha co|ha co|ha co|ha
%mor:	co|attention pro:sub|il pro:y|y v:aux|avoir&PRES&3s det:art|le&m&sg
	n|gros&m n|crocodile&m pro:rel|qui v:mdl|aller&PRES&3s pro:obj|vous
	v|attaquer-INF
%mor:	pro:sub|il v:exist|être&PRES&3s det:art|un&m&sg n|peu&m adj|gros&m
	co|hein
%mor:	co|hum
%mor:	pro:dem|ce$v:aux|être&PRES&3s pro:rel|quoi ?
%mor:	part|taire-PP&m v|dire-PRES&PASS&12s prep|à ?|aliyah pro:int|où
	v:int|est–ce pro:rel|que$pro:sub|on v:aux|être&PRES&3s
	part|aller&PP&m&sg det:art|le$pro|autre&sg n|jour&m adv|quand
	pro:sub|on v:aux|avoir&PRES&3s part|prendre-PP&m det:art|le&m&sg
	n|métro&m ?
%mor:	adv|mais co|non=no
%mor:	pro:sub|on v:aux|être&PRES&3s part|aller&PP&m&sg prep|à&le
	n|musée&m prep|pour v|voir&INF det:art|les&pl n|squelette&m-PL
%mor:	pro:sub|on v:aux|avoir&PRES&3s prep|vu prep|de&les n|squelette&m-PL
	prep|de pro:rel|quoi ?
%mor:	conj|et pro:int|quoi adv|de pro|autre&sg ?
%mor:	co|ouais=yes
%mor:	v|mettre-IMP&2s pro|toi&sg adv|debout ?|anaé
%mor:	prep|avec det:art|la&f&sg n|carapace&f
%mor:	co|ouais=yes co|ouais=yes
%mor:	v|ramasser-IMP&2s pro:rel|ce–qui v:aux|être&PRES&3s
	part|tomber-PP&m n|parterre&m=flowerbed ?|anaé
%mor:	co|oh ?|anaé v|regarder-PRES&SUB&13s
	pro:dem|ce$v:exist|être&PRES&3s adj|sale
%mor:	co|ben co|oui=yes pro:dem|ce$v:exist|être&PRES&3s n|dégoûtant&m
%mor:	v|regarder-IMP&2s part|taire-PP&m v:aux|avoir&PRES&2s n|tout&m
	part|salir-PP&m
%mor:	adv|tout part|salir-PP&m part|salir-PP&m
%mor:	pro:sub|il v:aux|être&PRES&3s adj|sale det:art|le&m&sg adj|petit&m
	n|poisson&m ?
%mor:	v|donner-IMP&2s
%mor:	adv|mais co|non=no neg|ne prep|en n|mets&m neg|pas adv|trop
	pro:sub|il pro:y|y pro:y|en v:aux|avoir&PRES&3s adv|déjà
	adv|beaucoup prep|de det:art|le$n|eau&f ?|anaé adv:place|là
	pro:dem|ça v:mdl|aller&PRES&3s dé#v|border-INF
%mor:	co|attention neg|pas prep|en v|mettre-INF adv|partout
