	part|taire PP&m pro:obj|te v|souvenir IMP&2s 
	pro:dem|ça v|ressembler PRES&SUB&13s neg|pas prep|de&le adv|tout
	prep|à det:art|un&m&sg n|loup&m
	det:art|un&m&sg n|tracteur&m
	det:gen|quelle&f&sg n|couleur&f 
	co|hum
	co|hum 
	co|oui=yes
	pro:dem|ce$v:aux|être&PRES&3s det:art|un&m&sg adj|petit&m
	n|crocodile&m 
	part|taire PP&m v|entendre PRES&12s pro:sub|il pro:y|y
	v:aux|avoir&PRES&3s det:art|une&f&sg adj|petit&f n|bille&f
	adv:place|dedans prep|pour v:mdl|faire INF prep|de&le n|bruit&m
	conj|et pro:dem|ça pro:sub|je v|croire&PRES&12s adv|que pro:dem|ça
	v:mdl|pouvoir&PRES&3s v:mdl|aller&INF prep|dans det:art|le&m&sg
	n|bain&m
	part|taire PP&m v:mdl|vouloir&FUT&2s pro:obj|le$v|emmener INF
	prep|dans det:poss|ton&m&sg n|bain&m pro:dem|ce n|soir&m 
	co|bah co|oui=yes pro:sub|on v:mdl|pouvoir&PRES&3s
	pro:obj|le$v|emmener INF prep|dans det:art|le&m&sg n|bain&m
	adv|parce adv|que pro:sub|je pro:obj|me v:aux|être&PRES&1s
	part|tromper PP&f
	co|hum
	pro:int|que$v:int|est–ce adv|que pro:dem|ce$v:aux|être&PRES&3s 
	adv|peut–être pro:sub|il pro:y|y v:aux|avoir&PRES&3s
	det:art|une&f&sg n|bébé&m prep|pour v|mettre INF adv:place|dedans
	prep|dans det:art|la&f&sg n|poussette&f
	co|ah
	adv|comment pro:sub|il pro:refl|se$v|appeler IMP&2s pro:dem|ce
	n|bébé&m 
	v|attendre IMP&2s v|regarder IMP&2s pro:sub|on
	v:mdl|pouvoir&PRES&3s pro:obj|le v|mettre INF adv|comme pro:dem|ça
	adv:place|dedans
	co|ah co|oui=yes
	pro:dem|ce$v:aux|être&PRES&3s det:art|une&f&sg n|fille&f 
	co|hein 
	co|ah co|bah co|oui=yes
	v|regarder PRES&SUB&13s adv|peut–être adj|même&m=same pro:sub|on
	v:mdl|pouvoir&PRES&3s part|luire&PP&m v|mettre INF det:poss|ses&pl
	n|main&f PL prep|sur det:art|le&m&sg n|truc&m adv:place|là
	co|hum co|ah pro:dem|ce$v:exist|être&PRES&3s neg|pas adj|facile
	co|oui=yes
	co|bon pro:dem|ce$v:exist|être&PRES&3s neg|pas part|faire PP&m
	prep|pour adv|alors pro:dem|ça n|marche&f neg|pas adv|très adv|bien
	adv|mais pro:sub|on v:mdl|pouvoir&PRES&3s v:mdl|faire INF
	n|semblant&m
	co|voilà pro:dem|ce$v:exist|être&PRES&3s v|dorer PASS&3s
	pro:int|qui v|pousser PRES&SUB&13s det:art|le&m&sg n|bébé&m
	pro:rel|qui v:mdl|aller&PRES&3s pro:obj|le v|promener INF
	det:art|le&m&sg n|lit&m n|oui&m
	co|ah co|oui=yes
	v|tenir IMP&2s v|regarder IMP&2s pro:sub|il pro:y|y
	v:aux|avoir&PRES&3s det:art|la&f&sg n|maison&f on|hop
	pro:sub|elle v:aux|être&PRES&3s adv|déjà pro:int|quoi 
	pro:sub|elle v:aux|être&PRES&3s adv|déjà n|sortie&f n|oui&m
	v|attendre IMP&2s v|regarder IMP&2s pro:sub|je v:mdl|aller&PRES&1s
	det:dem|cette&f&sg part|partir PP&f adv:place|là n|derrière&m
	adv:place|là 
	co|oui=yes 
	n|comment&m pro:dem|ça n|marche&f 
	part|taire PP&m v:mdl|savoir&PRES&12s pro:dem|ce n|matin&m
	pro:sub|je$v:aux|avoir&PRES&1s adj|mi&m PL=half prep|de co|la
	n|colle&f prep|sur co|euh prep|sur det:art|le&m&sg prep|sur co|ta
	adj|petit&f n|cuisine&f part|taire PP&m v:mdl|savoir&PRES&12s 
	pro:int|qui v:aux|être&IMPF&3s part|casser PP&f
	pro:sub|je$v:aux|avoir&PRES&1s part|mettre PP&m prep|de
	det:art|la&f&sg n|colle&f prep|sur det:art|le&m&sg n|pied&m prep|de
	det:art|la&f&sg adj|petit&f n|cuisine&f pro:int|qui
	v:exist|être&IMPF&3s part|casser PP&f
	co|non=no co|non=no adv|mais pro:sub|on v:mdl|aller&FUT&3s
	v|regarder INF n|tout&m prep|à det:art|le$n|heure&f
	v|tenir IMP&2s v|regarder IMP&2s on|hop
	part|taire PP&m v|regarder PRES&SUB&2s pro:dem|ce
	pro:rel|que$pro:sub|il pro:y|y v:aux|avoir&PRES&3s adv|de
	pro|autre&sg prep|dans det:art|la&f&sg n|caisse&f 
	pro:sub|elle v:mdllex|faire PRES&3s co|dodo 
	co|bah co|oui=yes adv|plutôt adv:place|là–haut n|oui&m
	det:art|la&f&sg n|chambre&f pro:sub|elle v:aux|être&PRES&3s prep|à
	det:art|le$n|étage&m
	co|oh
	pro:dem|ce$v:aux|être&PRES&3s |sophie det:art|la&f&sg n|girafe&f
	pro:dem|ça pro:dem|ce$v:aux|être&PRES&3s det:art|un&m&sg n|jouet&m
	prep|de adv|tout adj|petit&m n|bébé&m |sophie det:art|la&f&sg
	n|girafe&f
	|anaé v|regarder PRES&SUB&13s
	pro:int|que$v:int|est–ce adv|que pro:dem|ce$v:aux|être&PRES&3s 
	co|hum co|non=no pro:sub|je v|croire&PRES&12s
	pro:rel|que$pro:sub|il v:mdl|pouvoir&PRES&3s neg|pas v:mdl|aller&INF
	prep|dans det:art|le&m&sg n|tracteur&m det:art|le&m&sg n|dragon&m
	co|oh n|scoubidou&m
	adv|d'accord
	pro:dem|ce$v:aux|être&PRES&3s v|dorer PASS&3s pro:int|qui
	part|faire PP&m det:art|un&m&sg n|bisou&m prep|à n|scoubidou&m 
	co|oh
	pro:dem|ce$v:aux|être&PRES&3s pro:int|qui pro:sub|elle 
	pro:dem|ce$v:aux|être&PRES&3s pro:rel|qui 
	pro:dem|ce$v:aux|être&PRES&3s pro:rel|qui 
	co|ouais=yes adv|mais n|comment&m pro:sub|elle
	pro:refl|se$v|appeler PRES&SUB&13s 
	co|oui=yes
	adv|comment pro:sub|elle pro:refl|se$v|appeler IMP&2s pro:sub|elle
	
	co|non=no
	co|hum
	pro:dem|ça pro:dem|ce$v:aux|être&PRES&3s det:art|le&m&sg n|siège&m
	co|attention
	pro:dem|ce$v:aux|être&PRES&3s pro:int|qui pro:ind|lui 
	pro:dem|ce$v:aux|être&IMPF&3s det:poss|ton&m&sg n|doudou&m=blankie
	prep|à pro|toi&sg adv|quand part|taire PP&m n|étai&m PL
	det:art|un&m&sg n|tout&m adj|petit&m n|bébé&m
	co|oui=yes pro:dem|ce$v:exist|être&PRES&3s det:art|une&f&sg
	n|fraise&f
	pro:dem|ce$v:aux|être&PRES&3s adj|martial&m&sg conj|et |magali
	pro:int|qui pro:obj|te pro:obj|le$v:poss|avoir&IMPF&3p
	part|offrir PP&m
	det:art|le&m&sg n|papa&m conj|et det:art|la&f&sg n|maman&f prep|de
	|sacha
	pro:dem|ce$v:aux|être&PRES&3s det:art|un&m&sg adj|petit&m n|lutin&m
	n|fraise&f
	pro:dem|ce$v:aux|être&PRES&3s det:art|le&m&sg n|copain&m prep|de
	n|charlotte&f prep|à&les n|fraise&f PL
	co|hop
	co|hum pro|toi&sg part|taire PP&m v:aux|avoir&PRES&2s
	v|asseoir&PASS&12s det:poss|ton&m&sg n|doudou&m=blankie conj|et
	pro|moi&sg pro:sub|je$v:aux|avoir&PRES&1s v|asseoir&PASS&12s
	n|charlotte&f
	pro:dem|ce$v:aux|être&PRES&3s det:art|le&m&sg n|camion&m prep|de
	pro:rel|qui pro:dem|ça 
	pro:dem|ce$v:aux|être&PRES&3s det:art|le&m&sg n|camion&m
	prep|de&les n|pompier&m PL
	co|ah co|tiens v|regarder IMP&2s
	pro:dem|ce$v:aux|être&PRES&3s det:art|le&m&sg n|pantalon&m prep|de
	pro:rel|qui 
	pro:sub|je pro:obj|le$v|habiller IMP&2s
	part|taire PP&m v|ramasser PRES&SUB&2s det:art|le&m&sg n|camion&m 
	co|hop
	part|taire PP&m v:aux|avoir&PRES&2s det:art|un&m&sg n|camion&m
	pro|toi&sg 
	pro:sub|il pro:y|y v:aux|avoir&PRES&3s det:art|un&m&sg adj|petit&m
	
	pro:sub|il pro:y|y v:aux|avoir&PRES&3s det:art|un&m&sg adj|petit&m
	n|trou&m co|oui=yes pro:dem|ce$v:exist|être&PRES&3s prep|pour
	det:art|le&m&sg pro:obj|le$v|accrocher INF adv|si pro:sub|on
	v:mdl|vouloir&PRES&3s pro:obj|le$v|accrocher INF adv:place|au–dessus
	prep|de&le n|lit&m conj|ou
	pro:sub|il pro:y|y v:aux|avoir&PRES&3s det:art|un&m&sg adj|petit&m
	n|clou&m adv:place|au–dessus prep|de det:poss|ton&m&sg n|lit&m 
	co|merci
	co|hum v|regarder IMP&2s |anaé
	pro:int|que$v:int|est–ce adv|que pro:dem|ce$v:aux|être&PRES&3s 
	co|hum co|hum
	co|merci
	co|hum
	co|hum
	co|ah co|oui=yes pro:sub|il v:aux|avoir&PRES&3s det:art|une&f&sg
	adj|grand&f n|queue&f co|hein
	pro:sub|il v:aux|être&PRES&3s
	co|bah pro:sub|il v:aux|avoir&PRES&3s det:art|une&f&sg adj|drôle
	prep|de n|couleur&f adv|aussi det:dem|cet&m&sg n|éléphant&m
	part|taire PP&m v:aux|avoir&PRES&2s pro:int|que prep|de&les
	n|animal&m&pl prep|avec prep|de&les adj|drôle PL prep|de
	n|couleur&f PL pro:sub|on v|dire COND&3s
	part|taire PP&m v:mdl|savoir&PRES&12s adv|comment pro:sub|il
	pro:refl|se$v|appeler IMP&2s det:dem|cet&m&sg n|éléphant&m 
	pro:dem|ce$v:aux|être&IMPF&3s prep|à |aël adv|quand pro:sub|il
	v:aux|être&IMPF&3s adj|petit&m
	pro:dem|ce$v:aux|être&PRES&3s det:art|un&m&sg n|éléphant&m
	pro:rel|qui v:mdl|aller&PRES&3s prep|dans det:art|le&m&sg n|bain&m
	conj|et pro:sub|il pro:refl|se$v|appeler PRES&SUB&13s |elmer
	|elmer det:art|le$n|éléphant&m adj|multicolore&m
	co|hum
	pro:dem|ce$v:aux|être&PRES&3s det:art|un&m&sg n|éléphant&m
	pro:int|qui v|cracher PRES&SUB&13s prep|de det:art|le$n|eau&f
	prep|dans det:art|le&m&sg n|bain&m
	co|bah v|dire PRES&PASS&12s adv|donc pro:sub|il pro:y|y
	v:aux|avoir&PRES&3s prep|de&les n|trésor&m PL prep|dans
	det:dem|cette&f&sg n|caisse&f co|hein
	co|oh
	pro:dem|ce$v:aux|être&PRES&3s prep|pour pro:refl|se v|laver INF
	det:art|les&pl n|main&f PL 
	co|euh co|bah pro:sub|je v:mdllex|savoir&PRES&12s neg|pas
	pro:int|où v:int|est–ce adv|que part|taire PP&m
	pro:sub|il$v:aux|avoir&PRES&2s part|mettre PP&m 
	co|ah pro:sub|elle v:aux|être&PRES&3s adv:place|là
	v|regarder PRES&SUB&13s
	pro:sub|elle v:aux|être&PRES&3s prep|sous det:art|le&m&sg
	n|tracteur&m
	pro:sub|elle n|lave&f det:poss|ses&pl n|main&f PL v|dorer PASS&3s 
	n|comment&m pro:dem|ça pro:refl|se$v|appeler PRES&SUB&13s
	part|taire PP&m v:mdl|savoir&PRES&12s 
	det:art|un&m&sg n|lavabo&m 
	adv|comme prep|dans det:art|la&f&sg n|+n|salle+prep|de+n|bain
	det:art|un&m&sg n|lavabo&m 
	pro:sub|elle pro:refl|se n|lave&f det:art|les&pl n|main&f PL
	prep|dans det:art|un&m&sg n|lavabo&m 
	prep|dans det:art|un&m&sg n|lavabo&m 
	pro:sub|je$v|écouter IMP&2s
	v:mdl|falloir&PRES&3s pro:rel|que pro:sub|je$v|écouter IMP&2s
	adv|quand part|taire PP&m v|parler PRES&SUB&2s prep|dans
	det:poss|ta&f&sg n|tête&f 
	adv|mais pro:sub|je$v:aux|avoir&PRES&1s neg|pas n|bien&m
	adj|entendu&m v:mdl|aller&PRES&2s pro:y|y v|dire PRES&PASS&12s
	det:art|le&m&sg pro|moi&sg adv|plus adj|fort&m
	pro:dem|ce$v:aux|être&PRES&3s det:art|un&m&sg n|lavabo&m 
	n|lavabo&m
	det:art|un&m&sg n|lavabo&m
	co|pardon pro:sub|je$v:aux|avoir&PRES&1s part|toucher PP&m prep|à
	n|rien&m
	pro:int|que$v:int|est–ce pro:int|que pro:dem|ce$v:aux|être&PRES&3s
	adv|que pro:dem|ça 
	adv|ben prep|à det:poss|mon&m&sg n|avis&m
	pro:dem|ce$v:exist|être&PRES&3s prep|à pro|toi&sg adv|mais
	conj|ou adv|alors pro:dem|ce$v:aux|être&PRES&3s prep|à pro|moi&sg
	adv|peut–être pro:dem|ce$v:aux|être&PRES&3s prep|à pro|moi&sg
	co|han co|ah co|oui=yes pro:dem|ce$v:exist|être&PRES&3s prep|à
	|aliyah
	pro:dem|ce$v:aux|être&PRES&3s det:art|la&f&sg n|tortue&f adv|de
	|aliyah
	part|taire PP&m v:mdl|vouloir&PRES&12s part|luire&PP&m
	v:mdl|faire INF det:art|un&m&sg n|bisou&m 
	co|attention
	co|han pro:sub|elle v:aux|être&PRES&3s adv|toute adj|petit&f
	v:mdl|aller&PRES&2s pro:y|y v|amener PRES&SUB&13s det:art|la&f&sg
	prep|à |aliyah adv|pourque$pro:sub|elle pro:ind|lui
	v:mdl|faire PRES&SUB&13s det:art|un&m&sg n|bisou&m
	pro|moi&sg adv|aussi 
	pro:int|que$v:int|est–ce adv|que pro:dem|ce$v:aux|être&PRES&3s
	prep|sur det:poss|sa&f&sg n|tête&f adv:place|là 
	co|bah pro:rel|que$v:int|est–ce adv|que
	pro:dem|ce$v:aux|être&PRES&3s 
	det:art|un&m&sg adj|petit&m n|noeud&m
	co|bah co|si pro:dem|ce$v:aux|être&PRES&3s prep|comme
	det:art|une&f&sg adv|comme det:art|une&f&sg adj|petit&f n|couette&f
	prep|comme det:art|une&f&sg adj|petit&f n|barrette&f
	pro:sub|il pro:y|y v:aux|avoir&PRES&3s det:art|une&f&sg adj|petit&f
	n|bouche&f n|oui&m
	adv|peut–être pro:sub|on v:mdl|pouvoir&FUT&3s v|mettre INF
	det:art|une&f&sg n|couette&f adv|comme pro:dem|ça prep|dans
	det:art|les&pl n|cheveu&m PL adv|de |omer
	pro:sub|elle v:aux|être&PRES&3s neg|pas part|casser PP&f
	pro:sub|elle v:aux|être&PRES&3s dé#part|monter PP&f n|mai&m PL
	v:mdl|falloir&PRES&3s v|trouver INF det:art|le$pro|autre&sg n|bout&m
	pro:dem|ce$v:aux|être&PRES&3s det:art|la&f&sg n|balançoire&f
	prep|de v|dorer PASS&3s 
	v|regarder IMP&2s pro:int|qui pro:sub|je$v:aux|avoir&PRES&1s
	part|trouver PP&m
	pro:sub|il v|manger IMP&2s det:poss|tes&pl n|jouet&m PL 
	co|non=no pro:sub|je v|croire&PRES&12s pro:rel|que$pro:sub|il
	v:mdl|vouloir&PRES&3s v|manger INF det:art|les&pl n|gâteau&m PL
	n|surtout&m
	pro:sub|il v:mdl|vouloir&PRES&3s det:art|un&m&sg adj|petit&m
	n|bout&m 
	co|non=no pro:dem|ce$v:exist|être&PRES&3s adj|bon&m pro:sub|il
	pro:y|en v:aux|avoir&PRES&3s adv|déjà part|manger PP&m n|deux&m
	pro:dem|ça v|suffire&PASS&3s
	v|attendre IMP&2s v|pousser IMP&2s pro|toi&sg det:poss|ma&sg
	n|puce&f pro:sub|je v:mdl|aller&PRES&1s
	co|hum
	pro:dem|ce$v:aux|être&PRES&3s det:art|un&m&sg |teletubbies
	co|ohlàlà v|dire PRES&PASS&12s adv|donc
	pro:dem|ce$v:aux|être&PRES&3s det:art|un&m&sg adj|petit&m n|peu&m
	det:art|le&m&sg n|bazar&m adv:place|ici
	pro:sub|il pro:y|y pro:y|en v:aux|avoir&PRES&3s adv|partout
	prep|de&les n|jouet&m PL
	co|bah co|oui=yes
	n|parterre&m=flowerbed
	pro:dem|ce$v:aux|être&PRES&3s det:art|une&f&sg n|ferme&f pro:dem|ça
	
	co|bah pro:rel|que$v:int|est–ce adv|que pro:dem|ça adv|peut–être 
	pro:int|que$v:int|est–ce adv|que pro:dem|ça adv|peut–être 
	pro:dem|ce$v:aux|être&PRES&3s det:art|le&m&sg n|pis&m prep|de
	det:art|la&f&sg n|vache&f
	part|taire PP&m v|voir&IMP&PRES&12s pro:dem|ce$v:aux|être&PRES&3s
	prep|de&les n|tétine&f PL
	conj|et adv:place|dedans pro:sub|il pro:y|y v:aux|avoir&PRES&3s
	prep|de&le n|lait&m=milk
	co|hum pro:dem|ce$v:aux|être&PRES&3s prep|pour v|mettre INF
	det:art|le&m&sg
	pro:sub|tu v:mdl|savoir&PRES&12s det:art|le&m&sg n|lait&m=milk
	pro:rel|que$pro:sub|on v|mettre PRES&3s prep|dans det:poss|ton&m&sg
	n|biberon&m conj|et co|bah pro:sub|il v|venir PRES&3s prep|de&les
	n|pis&m prep|de det:art|la&f&sg n|vache&f
	v:int|est–ce adv|que part|taire PP&m pro:obj|te
	v|rappeler PRES&SUB&2s pro:rel|que$pro:sub|on v:aux|avoir&IMPF&3s
	prep|vu prep|chez n|mamie&f prep|de&les n|vache&f PL 
	part|taire PP&m pro:obj|te v|rappeler PRES&SUB&2s
	pro:rel|que$pro:sub|on v:aux|avoir&IMPF&3s prep|vu det:poss|mon&m&sg
	n|tonton&m=uncle n|jean&m=blue_jeans pro:int|qui v|prendre IMPF&3s
	det:art|le&m&sg det:art|le&m&sg n|lait&m=milk prep|de&les
	n|vache&f PL 
	co|ah co|non=no pro:sub|je v:mdl|savoir&PRES&12s neg|pas pro:int|où
	pro:sub|il v:aux|être&PRES&3s det:poss|son&m&sg n|pull&m
	adv|peut–être pro:sub|il v:aux|être&PRES&3s prep|dans
	det:poss|ta&f&sg n|chambre&f conj|ou adv|peut–être pro:sub|il
	v:aux|être&PRES&3s prep|dans det:dem|cette&f&sg n|caisse&f
	pro:sub|je neg|ne v:mdl|savoir&PRES&12s neg|pas
	pro:int|que$v:int|est–ce pro:rel|que$pro:sub|il part|faire PP&m
	adv:place|là pro:ind|lui 
	pro:dem|ce$v:aux|être&PRES&3s prep|à pro|toi&sg
	part|taire PP&m pro:obj|te v|rappeler PRES&SUB&2s neg|pas
	pro:int|que pro:dem|ce$v:aux|être&PRES&3s det:poss|tes&pl
	n|frère&m PL pro:int|qui pro:obj|te pro:obj|le$v:poss|avoir&PRES&3p
	part|ramener PP&m prep|de n|vacance&f PL
	adv|parce adv|que
	adv|parce adv|que pro:dem|ce$v:aux|être&PRES&3s det:art|un&m&sg
	n|tyrannosaure&m=tyrannosaurus
	det:art|les&pl n|tyrannosaure&m PL=tyrannosaurus pro:sub|ils
	v:aux|avoir&IMPF&3p prep|de&les adj|grand&f PL n|dent&f PL
	co|hum
	pro:sub|il
	prep|de&les adj|petit&f PL n|dent&f PL co|oui=yes
	pro:sub|il pro:obj|te part|faire PP&m neg|pas n|peur&f 
	co|non=no 
	pro:sub|il v|manger IMP&2s n|ton&m=tone det:art|le&m&sg adj|petit&m
	adj|riquiqui 
	pro:dem|ce$v:aux|être&PRES&3s prep|à pro|moi&sg
	v|tenir IMP&2s v|regarder IMP&2s
	pro:int|qui v:int|est–ce pro:int|qui v:aux|être&IMPF&3s
	part|rester PP&m prep|sur det:art|la&f&sg n|table&f
	co|oui=yes pro:dem|ce$v:exist|être&PRES&3s det:art|un&m&sg
	n|tyrannosaure&m=tyrannosaurus pro:int|qui v|rouler PRES&SUB&13s
	pro:sub|on v:mdl|pouvoir&PRES&3s v|essayer INF
	n|parterre&m=flowerbed adv|peut–être v|regarder PRES&SUB&13s
	co|hoplà
	adv|pourque$pro:sub|il n|avance&f n|tout&m adv|seul
	pro:sub|il pro:y|y v:aux|avoir&PRES&3s det:art|un&m&sg n|morceau&m
	prep|de n|puzzle&m n|parterre&m=flowerbed 
	co|ah
	pro:dem|ce$v:aux|être&PRES&3s n|rien&m part|taire PP&m
	v:mdl|savoir&PRES&12s pro:dem|ce$v:aux|être&PRES&3s det:art|le&m&sg
	det:art|le&m&sg det:art|le&m&sg n|puzzle&m pro:rel|que$pro:y|y
	v:aux|avoir&IMPF&3s prep|dans det:art|le&m&sg prep|dans
	det:art|le&m&sg |kinder n|surprise&f
	co|oh adv|mais pro:sub|je pro:sub|je v|croire&PRES&12s adv|que
	pro:sub|je$v:aux|avoir&PRES&1s part|jeter PP&m det:art|les&pl
	pro|autres&pl det:art|les&pl pro|autres&pl n|morceau&m PL
	part|taire PP&m v:mdl|savoir&PRES&12s
	pro:dem|ce$v:exist|être&PRES&3s adv|quand pro:obj|vous
	v:aux|avoir&PRES&2p part|manger PP&m prep|de&les |kinders prep|avec
	|agathe conj|et |arthur conj|et |aël det:art|le$pro|autre&sg
	n|jour&m
	part|taire PP&m pro:obj|te v|souvenir IMP&2s 
	co|bah pro:dem|ce$v:exist|être&PRES&3s neg|pas prep|à pro|moi&sg
	co|hein
	v|tenir IMP&2s
	det:art|le&m&sg n|bébé&m prep|de pro:rel|qui 
	co|ah pro:sub|je v:mdl|savoir&PRES&12s neg|pas adv|parce
	pro:rel|que$pro:sub|il v:aux|être&PRES&3s part|rester PP&m
	n|longtemps&m prep|dans det:poss|mon&m&sg n|sac&m adv|mais
	pro:sub|je v:mdl|aller&PRES&1s v|regarder INF conj|si$pro:sub|il
	v:aux|être&PRES&3s neg|pas prep|dans det:poss|mon&m&sg n|sac&m
	adv|d'accord 
	v|chercher IMP&2s v|chercher IMP&2s prep|dans co|la n|caisse&f
	adj|pendant&m=pending pro:dem|ce n|temps&m
	co|ouais=yes
	pro:sub|je$v:aux|avoir&PRES&1s part|trouver PP&m pro:dem|ça
	n|mai&m PL neg|pas adj|petit&m n|ours&m adj|brun&m
	co|oh
	pro:sub|il v:aux|être&PRES&3s adv:place|là v|regarder PRES&SUB&13s
	pro:sub|je pro:obj|le$v:poss|avoir&PRES&1s adj|ramassé&m
	v|tenir IMP&2s
	|anaé v|regarder PRES&SUB&13s
	det:art|le&m&sg n|singe&m pro:sub|il n|bouge&m neg|pas
	co|hum co|hum adv|comme pro|toi&sg
	co|hum
	part|taire PP&m v:mdl|savoir&PRES&12s adv|tout prep|à
	det:art|le$n|heure&f adv|quand part|taire PP&m n|étai&m PL
	adv|encore prep|chez |véro pro|moi&sg pro:sub|je v:aux|être&PRES&1s
	n|allée&f v|chercher INF |aliyah |valérie conj|et n|marc&m
	prep|à&le n|train&m
	prep|de$n|habitude&f part|taire PP&m v|venir PRES&12s prep|avec
	pro|moi&sg v|chercher INF |aliyah prep|à&le n|train&m
	adv|mais adv:place|là part|taire PP&m n|étai&m PL adv|encore
	prep|chez |véro
	part|taire PP&m v|venir FUT&2s prep|avec pro|moi&sg prep|pour
	det:art|les&pl v|ramener INF prep|à&le n|train&m 
	co|non=no 
	part|taire PP&m v:mdl|vouloir&PRES&12s neg|pas 
	adv|puis part|taire PP&m n|peu&m PL neg|pas v|rester INF adv|toute
	adj|seul&f prep|à det:art|la&f&sg n|maison&f adv|quand adv|même
	co|oh co|bah co|non=no
	part|taire PP&m v:aux|être&PRES&2s adv|trop adj|petit&f
	adv:int|pourquoi 
	co|hein 
	co|hum |ikea
	pro:int|que$v:int|est–ce pro:rel|que$pro:sub|il pro:y|y
	v:aux|avoir&PRES&3s part|marquer PP&m adv|alors 
	co|oui=yes 
	co|ouais=yes
	pro:sub|il pro:obj|te v|ressembler PRES&SUB&13s det:art|un&m&sg
	adj|petit&m n|peu&m co|non=no 
	det:art|un&m&sg adj|petit&m n|peu&m conj|comme pro|toi&sg
	det:art|une&f&sg n|ficelle&f 
	pro:sub|il v:aux|être&PRES&3s prep|de det:gen|quelle&f&sg
	n|couleur&f det:poss|ton&m&sg n|pantalon&m 
	conj|et pro:rel|que$v:int|est–ce pro:rel|que$pro:sub|il pro:y|y
	v:aux|avoir&PRES&3s prep|en adv:place|dessous 
	prep|de det:gen|quelle&f&sg n|couleur&f 
	conj|et v:int|est–ce adv|que part|taire PP&m v:mdl|vouloir&PRES&12s
	v|montrer INF prep|à |aliyah n|ton&m=tone adj|beau&m&sg=pretty
	|tee n|shirt&m=shirt pro:int|qui v:aux|être&PRES&3s prep|sous
	n|ton&m=tone
